id,body,actor,reply,time,category,control
879,Omg this place looks so lovely!,MrShazam,121,0:02,control,1
880,Congratulations! Very happy you've found your new home,JuniperQ,121,0:08,control,1
881,"Oh absolutely yes, that porch screams your name!",csmbx1,121,0:10,control,1
882,Aww! This is so amazing! It looks perfect for you. ,sweetpea,121,2:11,control,1
883,You HAVE to cook for me sometime!,SnakeCharmer,122,0:02,control,1
884,delicious AND healthy! pop off ,_aikira_,122,0:06,control,1
885,omg that looks sooo yummy!! ,wiz_khaleesi,122,0:10,control,1
886,Looks absolutely delish!,bblueberryy,122,0:12,control,1
887,YUM!,livelaughlove,122,2:09,control,1
888,Awwww!!!! what's their name???,bblueberryy,123,0:03,control,1
889,that is THE cutest dog I've ever seen!! ,HP743,123,0:08,control,1
890,when can I come over and meet him??? ,Sue_S,123,0:13,control,1
891,My jaw DROPPED. So adorable!,livelaughlove,123,0:20,control,1
892,If you ever need a dog sitter you know who to message :),ancho-n-cayenne,123,2:08,control,1
893,"Jealous, Target is my happy place",livelaughlove,124,0:05,control,1
894,love love love,ancho-n-cayenne,124,0:11,control,1
895,"I could spend HOURS in target, it's kinda a problem",fgonzalez,124,2:45,control,1
896,Looks like perfect weather!,ancho-n-cayenne,125,0:04,control,1
897,Fun in the sun :),fgonzalez,125,0:10,control,1
898,Hope you had a great time!,sweetpea,125,3:49,control,1
899,Happy birthday!!!,fgonzalez,126,0:03,control,1
900,Awwww how old is the cutie pie now?,sweetpea,126,0:14,control,1
901,What a cutie! happy birthday kitty! ,karenM,126,0:15,control,1
902,Happy birthday!,Sue_S,126,4:21,control,1
903,Wow! Can't believe he's been playing for so long!,sweetpea,127,0:05,control,1
904,He's come a long way since his first lessons 😂 very impressive!,Sue_S,127,0:14,control,1
905,Great work Alex! Proud of you!,Jcole9,127,3:22,control,1
906,Absolutely stunning,Sue_S,128,0:04,control,1
907,wow so serene and peaceful,lavenderrrrrr,128,0:06,control,1
908,Seems so fun!,Jcole9,128,0:12,control,1
909,"How gorgeous, I have to get there some day",ria_camiii,128,3:51,control,1
910,Sweet memories ❤️,Jcole9,129,0:01,control,1
911,Wow! A home computer. This picture is so neat.,mateoV,129,0:13,control,1
912,Aww such fun memories! ,fusionfeast,129,0:14,control,1
913,Sending love to your beautiful family,ria_camiii,129,0:19,control,1
914,What a happy time!,TomM41,129,4:14,control,1
915,YUMMMMM,ria_camiii,130,0:01,control,1
916,"Haven't been yet, can't wait to try it!",TomM41,130,0:09,control,1
917,"Couldn't agree more! If you haven't been yet, GO!!!!",TimBJenkins,130,2:50,control,1
918,"Same, I love winter ❄️",TomM41,131,0:03,control,1
919,"Not me, I'm enjoying the heat while it lasts!",TimBJenkins,131,0:06,control,1
920,Such a gorgeous view! Did you go hiking? ,caffeinated,131,0:17,control,1
921,What a beautiful photo!,B.Mike,131,3:27,control,1
922,What a throwback!,TimBJenkins,132,0:04,control,1
923,Wow! I had completely forgotten!!!,B.Mike,132,0:18,control,1
924,Blast from the past that's for sure!,HP743,132,4:11,control,1
925,Truly stunning.,B.Mike,133,0:02,control,1
926,"Oh wow, thank you for sharing. Absolutely breathtaking.",HP743,133,0:06,control,1
927,Love this so much,Lisa181818,133,4:33,control,1
928,Cherish these memories 🥰,HP743,134,0:01,control,1
929,You must be so proud!,ancho-n-cayenne,134,0:08,control,1
930,Such a little daddy's girl! <3 ,livelaughlove,134,0:17,control,1
931,She's gotten so big!,Lisa181818,134,0:19,control,1
932,Wow she's doing great! Way to go!,dana84,134,3:27,control,1
933,"Glad you're staying safe, I miss it too!",Lisa181818,135,0:01,control,1
934,Feels like a lifetime ago doesn't it?,dana84,135,0:17,control,1
935,That seems like a whole other world! Cant wait to get back to it,NoahM1121,135,0:22,control,1
936,Cheers to that...,john73,135,2:12,control,1
937,SUCH A GOOD DOGGO,dana84,136,0:03,control,1
938,tell him he's a good boy from me!!!,john73,136,0:08,control,1
939,He looks cute! ,coachmatthews,136,3:38,control,1
940,Oooo love the new look!,john73,137,0:05,control,1
941,Wow you're right the lights tie everything together!,coachmatthews,137,0:09,control,1
942,"girl, that looks SO cute!! ",_aikira_,137,0:12,control,1
943,I love perks of being a wallflower! One of my faves!,tastyrobot,137,0:15,control,1
944,Love what you've done with the place,NoahM1121,137,2:15,control,1
945,STUNNING,coachmatthews,138,0:02,control,1
946,"Omg I'm so jealous, what a great view",NoahM1121,138,0:08,control,1
947,Where are you? It looks absolutely gorgeous! ,kittycatbakes,138,0:10,control,1
948,Wow!,MannyDL34,138,4:49,control,1
949,That's so lovely,NoahM1121,139,0:03,control,1
950,Great times! Take me back amiright?,MannyDL34,139,0:08,control,1
951,How sweet 🥰,mateoV,139,2:07,control,1
952,"I remember this, such a great performance!",MannyDL34,140,0:05,control,1
953,I love going to concerts so much! ,jupiterpride,140,0:07,control,1
954,I miss the shows!,mateoV,140,0:16,control,1
955,Love this! Someday soon!!!,sweetpea,140,4:13,control,1
956,"Aww, the good ol' days",mateoV,141,0:01,control,1
957,Never thought I'd miss it so much!,sweetpea,141,0:14,control,1
958,Great picture!,localewis,141,3:18,control,1
959,Ooo I might be interested in it!,sweetpea,142,0:01,control,1
960,My friend has a truck I'll ask!,localewis,142,0:12,control,1
961,I'm interested!,artisanalways,142,4:00,control,1
962,Don't you ever wish you could read a book for the first time again?,localewis,143,0:04,control,1
963,One of my favorites too!,artisanalways,143,0:07,control,1
964,Ooo haven't read that book yet but love the show!,tacoguy,143,0:09,control,1
965,A classic!,jake_turk,143,0:19,control,1
966,Nothing better than a good book.,_aikira_,143,3:12,control,1
967,He's growin up! ,artisanalways,144,0:03,control,1
968,Cutest bros,_aikira_,144,0:06,control,1
969,hey lol,SnakeCharmer,144,0:09,control,1
970,hi mikey! ,lee.alexa,144,4:05,control,1
971,Nooooo I'm sorry :(,_aikira_,145,0:04,control,1
972,Dang yeah that happened to me a few weeks ago it's the worst,lee.alexa,145,0:08,control,1
973,Oh heck I'm sorry dude,fusionfeast,145,4:54,control,1
974,Ohhh that was one of my favorites too!,lee.alexa,146,0:02,control,1
975,Sounds like a perfect day,fusionfeast,146,0:07,control,1
976,I'll have to give that book a try!,breathe_in,146,2:09,control,1
977,Wow so pretty!,fusionfeast,147,0:01,control,1
978,So great to have some nice biking weather,breathe_in,147,0:05,control,1
979,Sounds so fun! ,coachmatthews,147,0:08,control,1
980,Such great exercise :)) ,MannyDL34,147,0:13,control,1
981,Love it!,ria_camiii,147,3:13,control,1
982,"One of my favorite places, so interesting!",breathe_in,148,0:04,control,1
983,Where is this? Looks so beautiful,artisanalways,148,0:07,control,1
984,Isn't it so great??,lee.alexa,148,0:14,control,1
985,Seems awesome,ria_camiii,148,0:15,control,1
986,You're so right it's the perfect day for that,Sue_S,148,3:00,control,1
987,Awww congratulations!,ria_camiii,149,0:02,control,1
988,Cute couple ❤️,bblueberryy,149,0:06,control,1
989,GOALS,Sue_S,149,0:18,control,1
990,I'm so single 😭,caffeinated,149,4:24,control,1
991,ugh relatable,Sue_S,150,0:05,control,1
992,too true 🤣🤣🤣,caffeinated,150,0:11,control,1
993,bruh why you gotta call me out like this,earthpulse,150,2:11,control,1
994,Omg I can't believe how old he's gotten!,caffeinated,151,0:02,control,1
995,Congratulations!!!!,earthpulse,151,0:06,control,1
996,🥳🥳🥳,casssssssssie,151,2:13,control,1
997,Have a great time!,earthpulse,152,0:05,control,1
998,So lovely,casssssssssie,152,0:13,control,1
999,Jealous!!!!!!!,breethebaker,152,4:37,control,1
1000,Oh no! We'll be keeping an eye out!,casssssssssie,153,0:01,control,1
1001,I'm so sorry!! Let me know if there's anything I can do ❤️,caffeinated,153,0:07,control,1
1002,thinking of you ❤️,breethebaker,153,0:11,control,1
1003,sending love,kittycatbakes,153,3:58,control,1
1004,Omg my friend was looking!,breethebaker,154,0:03,control,1
1005,YOU ARE A HERO,kittycatbakes,154,0:11,control,1
1006,I'll spread the word!!,localewis,154,2:48,control,1
1007,I'M GONNA DIE OMG!! SO CUTE,kittycatbakes,155,0:01,control,1
1008,Ugh I so would if my hubby wasn't allergic 😭,jackrussellmom,155,0:12,control,1
1009,so sweet!,localewis,155,0:14,control,1
1010,I'm interested!,jupiterpride,155,5:00,control,1
1011,Omg I have to let my sister know she'd love this,localewis,156,0:04,control,1
1012,what a cuuuuuuutieeeee ,HP743,156,0:08,control,1
1013,I def will be there!! ,artisanalways,156,0:12,control,1
1014,awwwww look at the little kitties,jupiterpride,156,0:15,control,1
1015,LOVE,jackrussellmom,156,2:00,control,1
1016,Looks like a perfect night!,jupiterpride,157,0:03,control,1
1017,this looks so creepy like you're doing some ritual...,breethebaker,157,0:06,control,1
1018,lol that's lowkey ugly,fusionfeast,157,0:10,control,1
1019,Oooooo s'mores yum!,jackrussellmom,157,0:14,control,1
1020,so nice!,lavenderrrrrr,157,3:54,control,1
1021,YUM,jackrussellmom,158,0:01,control,1
1022,where is this?,ancho-n-cayenne,158,0:09,control,1
1023,looks absolutely delicious,lavenderrrrrr,158,0:10,control,1
1024,Fun night!,cavsforever,158,3:17,control,1
1025,"Wow, impressive!",lavenderrrrrr,159,0:04,control,1
1026,Great work!,cavsforever,159,0:09,control,1
1027,You are the coolest person I know,tastyrobot,159,2:53,control,1
1028,omg where is this?? I'll have to go!,cavsforever,160,0:04,control,1
1029,Pretty!!!,tastyrobot,160,0:07,control,1
1030,wow looks absolutely gorg,sweetpea,160,0:16,control,1
1031,breathtaking,wiz_khaleesi,160,2:21,control,1
1032,love when educational is fun!,tastyrobot,161,0:02,control,1
1033,I loved going to the musuems with my family when I was little. They'll probably remember that visit forever!,Lisa181818,161,0:06,control,1
1034,Sounds amazing!,wiz_khaleesi,161,0:08,control,1
1035,Yayyyy love exposing kids to STEM,hockeymom101,161,3:08,control,1
1036,MMM SO GOOD,wiz_khaleesi,162,0:01,control,1
1037,sounds soooo cozy,hockeymom101,162,0:05,control,1
1038,lol it looks like beads on top,Smitty12,162,0:15,control,1
1039,"i hope the weather gets better, I miss the sunshine 😔",EmmaSmith0214,162,0:17,control,1
1040,love that sm,tacoguy,162,4:59,control,1
1041,"oh wow, stay safe out there",hockeymom101,163,0:03,control,1
1042,lmk if you need anything!,tacoguy,163,0:14,control,1
1043,that's so crazy wow,Ataylor,163,4:14,control,1
1044,How exciting!!!,tacoguy,164,0:03,control,1
1045,Wow! you absolutely should be proud!,Ataylor,164,0:07,control,1
1046,I read the article it was fantastic!,karenM,164,4:30,control,1
1047,That's so nice!,Ataylor,165,0:01,control,1
1048,this is the most heartwarming thing I've heard all week,karenM,165,0:09,control,1
1049,"it looks like it needs major repairs, make sure you get an inspector.",generic-joe,165,0:11,control,1
1050,What a nice thing for your family ❤️,TomM41,165,2:00,control,1
1051,You've raised a real gentleman!,karenM,166,0:04,control,1
1052,You must be so proud 😊,Lisa181818,166,0:10,control,1
1053,I'm sure you were absolutely BEAMING when you saw this,TomM41,166,0:16,control,1
1054,They grow up so fast!,BeardedMatt,166,3:32,control,1
1055,"Wow, I love seeing photos like these",TomM41,167,0:05,control,1
1056,makes me feel so nostalgic,sweetietooth,167,0:08,control,1
1057,If only this was a video!,dana84,167,0:11,control,1
1058,So cool that you have these from so long ago!,BeardedMatt,167,0:14,control,1
1059,Thank you so much for sharing,MedicalRyan,167,2:56,control,1
1060,What a sweet memory.,BeardedMatt,168,0:02,control,1
1061,Reminds me of events my grandpa told me about :),MedicalRyan,168,0:16,control,1
1062,Awesome photo!,Lisa181818,168,4:35,control,1
1063,Love this!,MedicalRyan,169,0:04,control,1
1064,Your weekly posts bring me such joy :),Lisa181818,169,0:19,control,1
1065,I live for these!,this_jack,169,3:28,control,1
1066,Never too late to start!,Lisa181818,170,0:03,control,1
1067,Thank you for the resolution reminder! I haven't thought about mine for months! ,aleeboi,170,0:10,control,1
1068,"Haha relatable, I dropped mine weeks ago 🤣",this_jack,170,0:24,control,1
1069,You got this!,PatelS,170,2:12,control,1
1070,This is how you know we're getting old 🤣,this_jack,171,0:02,control,1
1071,Me but with glasses!! all the damn time,TomM41,171,0:05,control,1
1072,happens to the best of us! ,mariaann,171,0:07,control,1
1073,This is so me!,PatelS,171,0:17,control,1
1074,hahahaha accurate,DonDonDonna,171,3:55,control,1
1075,couldn't agree more!,PatelS,172,0:02,control,1
1076,that woman looks so scary 🤣,clayton.myers,172,0:10,control,1
1077,"oh come on, relax",BossmanRy,172,0:11,control,1
1078,It's honestly kinda disturbing.....,DonDonDonna,172,0:19,control,1
1079,Everyone's addicted these days!,EmmaSmith0214,172,4:43,control,1
1080,Shared!,DonDonDonna,173,0:03,control,1
1081,"haha, these ARE fun!",EmmaSmith0214,173,0:18,control,1
1082,ooo love this how fun!,B.Mike,173,4:04,control,1
1083,hahahaha ME,EmmaSmith0214,174,0:03,control,1
1084,LOL I'm sorry but this is so you,B.Mike,174,0:12,control,1
1085,SO relatable,mariaann,174,3:13,control,1
1086,Everyone deserves to smile more :),B.Mike,175,0:05,control,1
1087,Agreed!,mariaann,175,0:10,control,1
1088,So so true,thisisalfie1998,175,4:00,control,1
1089,Haha! Kids are so picky these days!,mariaann,176,0:04,control,1
1090,LOL,thisisalfie1998,176,0:10,control,1
1091,I used to complain so much as a kid but now I understand!,MannyDL34,176,0:17,control,1
1092,Same!,KatieeeM,176,4:17,control,1
1093,HAHA we're so old,thisisalfie1998,177,0:02,control,1
1094,what! You're not a day over 21 😉,Jcole9,177,0:10,control,1
1095,I've been exposed!,KatieeeM,177,0:17,control,1
1096,I really don't know how I got so forgetful....,TimBJenkins,177,4:48,control,1
1097,"If this is true, I'm the next Einstein!",KatieeeM,178,0:05,control,1
1098,Omg love this thought process!,TimBJenkins,178,0:07,control,1
1099,Ha! I wish!,fgonzalez,178,3:00,control,1
1100,Omg I needed this,TimBJenkins,179,0:04,control,1
1101,hahah here I was thinking I needed supplements! ,earthpulse,179,0:05,control,1
1102,Wow I had completely lost track of time.....,fgonzalez,179,0:22,control,1
1103,What would I do without you,jiruletheworld,179,4:28,control,1
1104,proud of you!,fgonzalez,180,0:02,control,1
1105,wow this is awesome!,jiruletheworld,180,0:13,control,1
1106,you got this!!!!!!,ayoitsayo,180,2:24,control,1
1107,Those were the days!,jiruletheworld,181,0:01,control,1
1108,how do you even use that?,SnakeCharmer,181,0:07,control,1
1109,I showed one to my neighbor's kids and they had no idea what it was 🤣,ayoitsayo,181,0:13,control,1
1110,I dont even know what that is lmfao,Marcymaniac,181,0:18,control,1
1111,Me!!!!,sweetietooth,181,2:36,control,1
1112,"Best movie series, no one will change my mind.",ayoitsayo,182,0:03,control,1
1113,These are the facts!,sweetietooth,182,0:14,control,1
1114,"Meh, doesn't live up to the originals in my opinion....",dana84,182,2:12,control,1
1115,HA love the dark humor,sweetietooth,183,0:04,control,1
1116,PFFFT am I a bad person for laughing,dana84,183,0:09,control,1
1117,LMAO,lucyinurdreams,183,4:39,control,1
1118,"Yeah I'm with you, the diet can wait one more day...",dana84,184,0:05,control,1
1119,YUM,lucyinurdreams,184,0:05,control,1
1120,resolutions are meant to be broken 😋,chefricky,184,4:39,control,1
1121,If only 😩,lucyinurdreams,185,0:02,control,1
1122,Mmmmm.... cake.....,chefricky,185,0:19,control,1
1123,hahahahhaha maybe one day,DonDonDonna,185,0:12,control,1
1124,These are my life goals,clayton.myers,185,3:03,control,1
1125,OMG STOP,chefricky,186,0:04,control,1
1126,CUTENESS OVERLOAD,clayton.myers,186,0:14,control,1
1127,Why is she prettier than me? LOL,KatieeeM,186,0:25,control,1
1128,UGH I need a dog,aleeboi,186,3:19,control,1
1129,LOL I'm the same way,clayton.myers,187,0:03,control,1
1130,haha I understand I can't help buying them!,aleeboi,187,0:22,control,1
1131,nothing better than fresh set of highlighters! ,lucyinurdreams,187,0:09,control,1
1132,i love back to school shopping,_aikira_,187,0:14,control,1
1133,But hear me out: they're so satisfying,mewranda,187,3:03,control,1
1134,Beautiful!,aleeboi,188,0:05,control,1
1135,TAKE ME WITH YOU,mewranda,188,0:21,control,1
1136,Wow I could use a vacation...,masterchefterry,188,4:24,control,1
1137,How cute!,mewranda,189,0:02,control,1
1138,Perfect winter activity for when there isn't real snow :),masterchefterry,189,0:22,control,1
1139,my kids love anything with googley eyes,caffeinated,189,0:07,control,1
1140,Ooo I'll have to try this!,gwenfromtheblock,189,3:01,control,1
1141,Omg I could NEVER,masterchefterry,190,0:01,control,1
1142,that's so cool!,gwenfromtheblock,190,0:07,control,1
1143,"aww poor guy, I hope you let him go :// ",EmmaSmith0214,190,0:24,control,1
1144,yuck!! ,mewranda,190,0:22,control,1
1145,Wow!! Where'd you get to do that??,fgonzalez,190,2:26,control,1
1146,how fun!,gwenfromtheblock,191,0:03,control,1
1147,YUM! You always made the best pancakes :),fgonzalez,191,0:25,control,1
1148,I could eat ten platefuls!,JuniperQ,191,2:01,control,1
1149,Can't think of any better reason!,fgonzalez,192,0:03,control,1
1150,Great photo!,JuniperQ,192,0:18,control,1
1151,You are absolutely glowing,VitaBOCA,192,3:05,control,1
1152,Wishing you the best!,JuniperQ,193,0:03,control,1
1153,Good luck with everything!,VitaBOCA,193,0:16,control,1
1154,I hope you had a great semester 😃😃😃,sweetpea,193,0:15,control,1
1155,We'll miss you around here!,EZpz,193,2:25,control,1
1156,Mmm Mmm Good!,VitaBOCA,194,0:04,control,1
1157,I would never dare challenge you as grill master!,EZpz,194,0:05,control,1
1158,idk looks a little flat to me 🤷🏻,M.Kapadia92,194,0:24,control,1
1159,I hope he grills next time I come over,ancho-n-cayenne,194,0:14,control,1
1160,Looks fantastic,masterchefterry,194,4:11,control,1
1161,You've got good taste,EZpz,195,0:04,control,1
1162,Oh hell yeah!,masterchefterry,195,0:16,control,1
1163,Fantastic song.,MrShazam,195,3:21,control,1
1164,Cupcakes AND oreos???? count me in.,masterchefterry,196,0:01,control,1
1165,These look great!,MrShazam,196,0:09,control,1
1166,you should go on cupcake wars!,Jcole9,196,0:19,control,1
1167,I would gobble those up in a second,lee.alexa,196,0:12,control,1
1168,Sooooo where can I get some?,csmbx1,196,2:00,control,1
1169,Aww this is cute,MrShazam,197,0:05,control,1
1170,Lol can I pay you to follow me around and take candids like this,csmbx1,197,0:19,control,1
1171,Seems like the perfect outdoor day :),mewranda,197,4:56,control,1
1172,SUCH A GOOD BOY,csmbx1,198,0:04,control,1
1173,I would die for this dog.,mewranda,198,0:04,control,1
1174,he's grown so much!,ria_camiii,198,0:24,control,1
1175,I miss him!! And I know he misses me too!!!!,SnakeCharmer,198,2:51,control,1
1176,Omg stunning!,mewranda,199,0:03,control,1
1177,You are so talented!,SnakeCharmer,199,0:09,control,1
1178,Would you make one for me?? I'd pay!,difrad,199,2:19,control,1
1179,Can't wait to see!,SnakeCharmer,200,0:01,control,1
1180,One of my favorite activities :),difrad,200,0:09,control,1
1181,"that's a loooot of pumpkins, the place I went to had only like 15!",kittycatbakes,200,0:17,control,1
1182,So fun!,M.Kapadia92,200,4:29,control,1
1183,That's huge! Congrats!,difrad,201,0:03,control,1
1184,Wow!!!,M.Kapadia92,201,0:06,control,1
1185,Gotta love the freedom :),livelaughlove,201,2:14,control,1
1186,Oooo I love a good drive!,M.Kapadia92,202,0:01,control,1
1187,Glad you made it home safe ❤️,livelaughlove,202,0:11,control,1
1188,Don't take pictures and drive!,lavenderrrrrr,202,0:16,control,1
1189,nothing like getting home after a long drive,Sue_S,202,0:12,control,1
1190,Sounds like a busy day!,bblueberryy,202,4:03,control,1
1191,Omg it's lovely!,livelaughlove,203,0:05,control,1
1192,That's impressive craftsmenship,bblueberryy,203,0:07,control,1
1193,Looks great,ancho-n-cayenne,203,3:27,control,1
1194,Who's gonna tell them.....,bblueberryy,204,0:04,control,1
1195,I dont think that link leads to anywhere...,jake_turk,204,0:14,control,1
1196,"Oh honey, no.",ancho-n-cayenne,204,0:24,control,1
1197,Ooo this seems awesome!,john73,204,2:51,control,1
1198,"Was there a few days ago, best day ever!",ancho-n-cayenne,205,0:03,control,1
1199,That's my perfect afternoon,john73,205,0:17,control,1
1200,How nice! Any favorites?,coachmatthews,205,4:06,control,1
1201,Omg it's a blue jay!!!,john73,206,0:04,control,1
1202,Wow! I've never seen one of those around my house!,coachmatthews,206,0:19,control,1
1203,neato,earthpulse,206,0:24,control,1
1204,This picture gave me the motivation to finally put my bird feeder up,jackrussellmom,206,0:22,control,1
1205,It's beautiful isn't it??,NoahM1121,206,4:43,control,1
1206,Have fun girls!,coachmatthews,207,0:05,control,1
1207,They'll have such a good time! Miss them already!,NoahM1121,207,0:22,control,1
1208,Tell them to send me letters!,MannyDL34,207,4:06,control,1
1209,"Impressive, well done!",NoahM1121,208,0:04,control,1
1210,So when are you inviting us over for beers? Looks great!,MannyDL34,208,0:11,control,1
1211,can you do my next? 😉😆,karenM,208,0:55,control,1
1212,Can't wait to see in person!,sweetpea,208,4:38,control,1
1213,Congrats!!,MannyDL34,209,0:05,control,1
1214,Moving up in the world! You rock!,sweetpea,209,0:09,control,1
1215,Well deserved!,mateoV,209,2:09,control,1
1216,Congratulations!!!!,sweetpea,210,0:04,control,1
1217,Ugh I love you guys SO MUCH!,mateoV,210,0:18,control,1
1218,Congrats! What a great picture! ,jupiterpride,210,0:24,control,1
1219,finally!! jk 😉 really happy for you both,wiz_khaleesi,210,0:22,control,1
1220,This makes me so happy!!!! CONGRATS!!!,artisanalways,210,2:51,control,1
1221,Haha bet I could beat you ;),mateoV,211,0:01,control,1
1222,Omg that game is so addictive hahaha,artisanalways,211,0:19,control,1
1223,I could spend hours playing that,Jcole9,211,3:43,control,1
1224,Tell them I say hi!,artisanalways,212,0:04,control,1
1225,So nice you get to catch up with them,Jcole9,212,0:06,control,1
1226,beautiful family ❤️,_aikira_,212,0:24,control,1
1227,"aww they're so precious, makes me miss my parents",earthpulse,212,2:51,control,1
1228,Wouldn't miss it for the world!,Jcole9,213,0:05,control,1
1229,I'll be there! Send me the deets!,_aikira_,213,0:09,control,1
1230,Break a leg!,fusionfeast,213,3:30,control,1
1231,What sort of project? I could help you find someone,_aikira_,214,0:04,control,1
1232,Just dm'd,fusionfeast,214,0:05,control,1
1233,That's a whole lotta wood!,hockeymom101,214,0:24,control,1
1234,Interested!,lee.alexa,214,2:51,control,1
1235,Really? I find it to be pretty good comfort food,fusionfeast,215,0:02,control,1
1236,Yeah I know what you mean....,lee.alexa,215,0:24,control,1
1237,Mediocre at best.,ria_camiii,215,3:30,control,1
1238,I don't care as long as Tom Holland is the love interest 😍,lee.alexa,216,0:02,control,1
1239,"Chris Pine, I will be taking no other suggestions.",ria_camiii,216,0:25,control,1
1240,I LOVE Emma Watson!,caffeinated,216,0:14,control,1
1241,"easy, Jennifer Lawrence",hockeymom101,216,0:25,control,1
1242,hmm this is such a good question! Tom Hanks? Dont mean to flatter myself hahah,TomM41,216,2:33,control,1
1243,Great skill to have!,ria_camiii,217,0:04,control,1
1244,"Oh I'm interested, where is it? Can you send the details?",caffeinated,217,0:06,control,1
1245,"Sharing with friends, this will be a great course!",lavenderrrrrr,217,4:23,control,1
1246,I almost don't mind being snowed in when it looks like this 😍,caffeinated,218,0:05,control,1
1247,Lovely pic!,lavenderrrrrr,218,0:21,control,1
1248,Couldn't agree more,earthpulse,218,0:24,control,1
1249,a very artistic picture!,ayoitsayo,218,2:51,control,1
1250,Awesome pics!,lavenderrrrrr,219,0:04,control,1
1251,"Your photography is really improving, way to go!",earthpulse,219,0:12,control,1
1252,Love!,cavsforever,219,3:22,control,1
1253,Wow sick cave!,earthpulse,220,0:02,control,1
1254,Such big rocks for such a small girl!,cavsforever,220,0:25,control,1
1255,Fun times!,breethebaker,220,0:14,control,1
1256,what a cool pic,B.Mike,220,0:25,control,1
1257,where is this? I would love to do some exploring myself ,generic-joe,220,2:33,control,1
