id,body,actor,reply,time,category,control
1258,It was a great game!,cavsforever,221,0:02,control,1
1259,Jealous!!!!,breethebaker,221,0:22,control,1
1260,That's a perfect view right there,kittycatbakes,221,4:21,control,1
1261,Here's to many more happy years!,breethebaker,222,0:02,control,1
1262,"Congratulations you two, sending love",kittycatbakes,222,0:22,control,1
1263,A picture almost as beautiful as you two!,hockeymom101,222,0:24,control,1
1264,😍😍😍,localewis,222,4:56,control,1
1265,Super fun hair for super fun girls!,kittycatbakes,223,0:03,control,1
1266,Such cuties!,localewis,223,0:22,control,1
1267,They've gotten so big omg,jupiterpride,223,2:46,control,1
1268,"I'm so sorry, keeping you and your family in my thoughts.",localewis,224,0:04,control,1
1269,Praying for you and thinking of you,jupiterpride,224,0:25,control,1
1270,Sending love 💕,breathe_in,224,0:11,control,1
1271,"How awful! She's so strong, she'll be out in no time!",Lisa181818,224,0:13,control,1
1272,so sorry! Let me know if there is anything I can do ❤️,PatelS,224,3:33,control,1
1273,LET'S GOOOOOO,jupiterpride,225,0:04,control,1
1274,This is gonna be hype,breathe_in,225,0:24,control,1
1275,Can't wait bro,jackrussellmom,225,4:26,control,1
1276,I could eat that whole thing!,breathe_in,226,0:03,control,1
1277,Omg that looks so good,jackrussellmom,226,0:12,control,1
1278,You'll have to send me the recipe!,tastyrobot,226,0:20,control,1
1279,Very scrumptious.,Lisa181818,226,4:20,control,1
1280,Sounds interesting!,jackrussellmom,227,0:05,control,1
1281,These are so pretty!,tastyrobot,227,0:24,control,1
1282,I'll message you for the details :),wiz_khaleesi,227,4:23,control,1
1283,Looks so good!,tastyrobot,228,0:03,control,1
1284,Wow! Totally new look I love it!,wiz_khaleesi,228,0:15,control,1
1285,Looking sharp 👍,karenM,228,0:11,control,1
1286,Looks great! Be confident!,Smitty12,228,0:25,control,1
1287,Blonde looks great on you,ria_camiii,228,3:13,control,1
1288,Good to know!,wiz_khaleesi,229,0:02,control,1
1289,Note to self: buy new wine 😋,karenM,229,0:06,control,1
1290,"Would also recommend, surprisingly good!",tacoguy,229,2:08,control,1
1291,Looks like a great view,karenM,230,0:04,control,1
1292,How nice!,tacoguy,230,0:25,control,1
1293,Omg it's my favorite people!!!,Ataylor,230,0:25,control,1
1294,hahah smooth! I'm gonna have to use that some time,localewis,230,2:14,control,1
1295,You go!!,tacoguy,231,0:03,control,1
1296,Any recommendations on yoga classes for beginners?,Ataylor,231,0:08,control,1
1297,"I've been meaning to get into yoga, this is a sign!",jake_turk,231,4:15,control,1
1298,Seems like so much fun!,Ataylor,232,0:04,control,1
1299,Perfect day!,jake_turk,232,0:05,control,1
1300,🥳🥳🥳,hockeymom101,232,0:06,control,1
1301,what a good looking group!,jupiterpride,232,0:08,control,1
1302,So sad I couldn't make it <3,tastyrobot,232,3:04,control,1
1303,Ugh take me back to warm weather 😩,jake_turk,233,0:04,control,1
1304,It'll be warm again soon!,hockeymom101,233,0:18,control,1
1305,relatable,snowbird,233,4:19,control,1
1306,I'll ask my brother he'd know!,hockeymom101,234,0:02,control,1
1307,I have kindle and I love it,snowbird,234,0:15,control,1
1308,Lmk if you hear!,youngcunningham,234,0:25,control,1
1309,"If you like audio books, I'd highly recommend audible",karenM,234,4:54,control,1
1310,Wow! Time flies!,snowbird,235,0:04,control,1
1311,Congrates Lanie!,youngcunningham,235,0:13,control,1
1312,Way to go Lanie!,generic-joe,235,0:10,control,1
1313,aw she's all grown up!,Sue_S,235,0:19,control,1
1314,It feels like just yesterday she was starting high school ❤️,EmmaSmith0214,235,4:40,control,1
1315,Such a good boy!,youngcunningham,236,0:05,control,1
1316,I love Rocko with my entire heart,generic-joe,236,0:23,control,1
1317,Fetch makes it all worth it!,Smitty12,236,2:05,control,1
1318,I'll be there!,generic-joe,237,0:04,control,1
1319,Oooo looking forward to it!,Smitty12,237,0:11,control,1
1320,Looks like some great deals!,BossmanRy,237,0:12,control,1
1321,"That bag looks super cute, def will be there.",breathe_in,237,3:13, control,0
1322,I'm super into Marvel!,Smitty12,238,0:04,control,1
1323,Also love Marvel! Spiderman Homecoming is great if you haven't seen any of the other movies,BossmanRy,238,0:24,control,1
1324,Harry Potter is my comfort movie :),HP743,238,2:54,control,1
1325,Same here! Can't wait!,BossmanRy,239,0:02,control,1
1326,The golf course is my happy place :'),HP743,239,0:11,control,1
1327,We're getting close!,Marcymaniac,239,0:12,control,1
1328,"I can't, men and their golfing!",jackrussellmom,239,0:12,control,1
1329,cant believe you've lasted this long without it,hockeymom101,239,4:45,control,1
1330,Ha! Looking good!,HP743,240,0:04,control,1
1331,What cuties!,Marcymaniac,240,0:18,control,1
1332,Aww they were always such great kiddos,southerngirlCel,240,4:19,control,1
1333,Good luck!,Marcymaniac,241,0:04,control,1
1334,"Grind time, you got this!",southerngirlCel,241,0:22,control,1
1335,You're so on top of things you'll do great,BossmanRy,241,0:25,control,1
1336,so cute! love the animal motif,HP743,241,4:14,control,1
1337,Wow!,southerngirlCel,242,0:01,control,1
1338,That's absolutely incredible,BossmanRy,242,0:24,control,1
1339,So cool you were able to get a photo,TomM41,242,2:47,control,1
1340,Ooo where are you going?,BossmanRy,243,0:01,control,1
1341,Drive safe!,TomM41,243,0:19,control,1
1342,Have the best time,BeardedMatt,243,0:23,control,1
1343,what a gorgeous sunset,B.Mike,243,0:24,control,1
1344,keep taking and posting pics please ,thisisalfie1998,243,4:13,control,1
1345,Gotta love that quality time,TomM41,244,0:03,control,1
1346,One of my favorite groups! They always sound wonderful,BeardedMatt,244,0:22,control,1
1347,Omg I was there too!,Lisa181818,244,3:34,control,1
1348,LOL love that,BeardedMatt,245,0:03,control,1
1349,"Omg I'll have to keep an eye out for those, that's hysterical",Lisa181818,245,0:23,control,1
1350,ROFL,PatelS,245,0:13,control,1
1351,Hahaha makes using a hand santizer a lil more fun!,gwenfromtheblock,245,3:32,control,1
1352,Haha! I agree!,Lisa181818,246,0:04,control,1
1353,You are the punniest person I know,PatelS,246,0:18,control,1
1354,Nothing beats the smell of a new book,this_jack,246,3:22,control,1
1355,Lmk if you want any route ideas!,PatelS,247,0:03,control,1
1356,We'll have to go out cycling together sometime,this_jack,247,0:23,control,1
1357,How fun!,DonDonDonna,247,0:13,control,1
1358,Way to recycle!,Smitty12,247,0:09,control,1
1359,Let's make sure to ride together some time 😄,MedicalRyan,247,2:10,control,1
1360,Beautiful!,this_jack,248,0:02,control,1
1361,"Aww, I needed this thank you for sharing!",DonDonDonna,248,0:15,control,1
1362,These are just lovely,EmmaSmith0214,248,3:53,control,1
1363,Yum!,DonDonDonna,249,0:05,control,1
1364,Sending love to your beautiful family,EmmaSmith0214,249,0:15,control,1
1365,This warms my heart :),B.Mike,249,0:25,control,1
1366,I love fresh strawberries!,KatieeeM,249,4:42,control,1
1367,Now THAT'S a perfect day for a hike,EmmaSmith0214,250,0:04,control,1
1368,What a beautiful day,B.Mike,250,0:24,control,1
1369,I gotta get out more often!,mariaann,250,4:38,control,1
1370,have fun!,B.Mike,251,0:02,control,1
1371,"Jealous, ugh I miss the ocean",mariaann,251,0:11,control,1
1372,Love love love,KatieeeM,251,0:09,control,1
1373,nothing better than being out at the beach,generic-joe,251,0:14,control,1
1374,How lovely!,caffeinated,251,2:42,control,1
1375,I love the brightness they bring amongst the warm colors!,mariaann,252,0:03,control,1
1376,"All the leaves are just so lovely, I could stay outside all day",KatieeeM,252,0:17,control,1
1377,I'm obsessed with the super deep red colors,TimBJenkins,252,3:38,control,1
1378,Lol what in the world,KatieeeM,253,0:01,control,1
1379,gotta love transposition,TimBJenkins,253,0:17,control,1
1380,"haha been there, it's such a pain",jiruletheworld,253,0:21,control,1
1381,How cool! that just looks like giberrish to me haha,breethebaker,253,2:10,control,1
1382,What a fun reunion!,TimBJenkins,254,0:01,control,1
1383,"Oooo, that coffee topping looks super cool",jiruletheworld,254,0:17,control,1
1384,Blast from the past! Haven't seen him in forever!,dana84,254,3:27,control,1
1385,Oh I think I know what you're talking about!,jiruletheworld,255,0:04,control,1
1386,Reminds me of the Monet series :'),dana84,255,0:11,control,1
1387,Just gorgeous,ayoitsayo,255,0:19,control,1
1388,Water Lilies by Monet ,cavsforever,255,0:16,control,1
1389,Love the bright green,Ataylor,255,2:06,control,1
1390,It's a great way to get some more fruit in your diet!,dana84,256,0:04,control,1
1391,Right?? They're so underrated!,ayoitsayo,256,0:11,control,1
1392,There's no beating chocolate chips in my book lol,sweetietooth,256,3:41,control,1
1393,What a cool project!,ayoitsayo,257,0:02,control,1
1394,"This looks awesome, I can dig around for some!",sweetietooth,257,0:17,control,1
1395,I would totally buy one of these from you,lucyinurdreams,257,0:22,control,1
1396,"I have so many old collage shirts, this is perfect.",jupiterpride,257,4:21,control,1
1397,There's no place like home :),sweetietooth,258,0:04,control,1
1398,Welcome back!,lucyinurdreams,258,0:21,control,1
1399,Love the photo.,chefricky,258,2:35,control,1
1400,"Haha, I love the colors!",lucyinurdreams,259,0:02,control,1
1401,"Ooo I see what you mean, so bright and colorful!",chefricky,259,0:12,control,1
1402,I still wanna see your paintings sometime :),fgonzalez,259,0:22,control,1
1403,Cool photo but I'm sure the painting was beautiful,cavsforever,259,0:24,control,1
1404,Make sure to wash before they harden or the brushes will get ruined,HP743,259,4:21,control,1
1405,Looks lovely!,chefricky,260,0:04,control,1
1406,"I'm biased towards deeper, darker colors, but they both look great!",fgonzalez,260,0:23,control,1
1407,Can't wait to see the final product!,clayton.myers,260,2:49,control,1
1408,Now that's a cool car,fgonzalez,261,0:04,control,1
1409,"Such a fun day, good for you",clayton.myers,261,0:11,control,1
1410,Looking good!,aleeboi,261,0:22,control,1
1411,what a flat car LOL,MedicalRyan,261,2:48,control,1
1412,It's a beautiful day for it!,clayton.myers,262,0:02,control,1
1413,Way to be active!,aleeboi,262,0:20,control,1
1414,Seems like a ton of fun :),mewranda,262,3:24,control,1
1415,"Hahahaha, my friends and I are wack",aleeboi,263,0:04,control,1
1416,Don't know where I'd be without my weirdos :),mewranda,263,0:11,control,1
1417,LOL love <3,gwenfromtheblock,263,0:22,control,1
1418,you all look so happy to be with each other,EmmaSmith0214,263,0:02,control,1
1419,"if you think your friends are crazy, what are you?? hahahha ",KatieeeM,263,3:20,control,1
1420,Makes the running pain worth it!,mewranda,264,0:04,control,1
1421,There's not beating that.,gwenfromtheblock,264,0:23,control,1
1422,lovely!,masterchefterry,264,2:49,control,1
1423,HA! I blink and everything's out of place again!,gwenfromtheblock,265,0:02,control,1
1424,Someday we'll figure out how to keep things in order....,masterchefterry,265,0:14,control,1
1425,This is so relatable!,difrad,265,0:14,control,1
1426,Impossible to keep a home cleaner than 5 minutes,EmmaSmith0214,265,3:13,control,1
1427,"There are two types of people in the world. Those who put ketchup on the side of their plate, and cool people.",masterchefterry,266,0:04,control,1
1428,Classic Kristen!,difrad,266,0:13,control,1
1429,"Lol love this, too true.",M.Kapadia92,266,3:09,control,1
1430,Dang that's a sick photo,difrad,267,0:05,control,1
1431,bet lmk where you're going next time,M.Kapadia92,267,0:17,control,1
1432,was a sick night,SnakeCharmer,267,0:25,control,1
1433,nice bro,Marcymaniac,267,0:24,control,1
1434,looking good  😏,breathe_in,267,4:23,control,1
1435,OMG ME,M.Kapadia92,268,0:01,control,1
1436,One of my favorite parks!,SnakeCharmer,268,0:10,control,1
1437,Ahhh not for me!! I'm terrified of them,livelaughlove,268,2:02,control,1
1438,I was super jealous for a second!,SnakeCharmer,269,0:04,control,1
1439,Still a great game to be at!,livelaughlove,269,0:13,control,1
1440,those damn yankees........,bblueberryy,269,0:14,control,1
1441,You almost had me!,generic-joe,269,2:39,control,1
1442,You're right it totally does!,livelaughlove,270,0:03,control,1
1443,SO pretty!,bblueberryy,270,0:10,control,1
1444,"How beautiful, thank you for sharing.",ancho-n-cayenne,270,3:21,control,1
1445,Best vibes ever,bblueberryy,271,0:02,control,1
1446,I swear this is so underrated hahahaha,ancho-n-cayenne,271,0:21,control,1
1447,Looks like a great time!,john73,271,0:21,control,1
1448,"ugh im so jealous, my friends hate taking pictures",southerngirlCel,271,0:18,control,1
1449,you guys look amazing as always!! 😍😍😍,PatelS,271,3:43,control,1
1450,Happy Birthday!,ancho-n-cayenne,272,0:04,control,1
1451,Wishing you the best!,john73,272,0:15,control,1
1452,Happy Birthday Ashley!!,coachmatthews,272,3:25,control,1
1453,Omg that's sick,john73,273,0:04,control,1
1454,Damn I totally would've wanted to drive it lol,coachmatthews,273,0:13,control,1
1455,So cool!,NoahM1121,273,0:14,control,1
1456,I wouldn't let you anywhere near my car haha ,M.Kapadia92,273,4:39,control,1
1457,Break a leg!,coachmatthews,274,0:03,control,1
1458,I wouldn't miss it for the world :),NoahM1121,274,0:16,control,1
1459,Can't wait to see it! Break a leg!,MannyDL34,274,2:44,control,1
1460,You are so talented!,NoahM1121,275,0:04,control,1
1461,Oh wow! I love it!,MannyDL34,275,0:13,control,1
1462,Stunning,sweetpea,275,0:14,control,1
1463,you should blend the eye a little more ,bblueberryy,275,2:39,control,1
1464,Planners are my LIFE,MannyDL34,276,0:04,control,1
1465,I don't know what I'd do without my planner,sweetpea,276,0:22,control,1
1466,I aspire to be as organized as you lol,mateoV,276,3:40,control,1
1467,Safe travels!,sweetpea,277,0:03,control,1
1468,Exciting! That opens so many doors,mateoV,277,0:24,control,1
1469,Take me with you!!,artisanalways,277,0:25,control,1
1470,You should visit Prague. Super affordable and beautiful.,caffeinated,277,0:18,control,1
1471,Cant wait to hear about all the places you'll visit,ria_camiii,277,4:15,control,1
1472,relatable af,mateoV,278,0:02,control,1
1473,"Haha same! I'm addicted to bullet journals, but not bullet journaling hahahah",artisanalways,278,0:06,control,1
1474,Omg I feel you,Jcole9,278,2:10,control,1
1475,Yummmm,artisanalways,279,0:02,control,1
1476,I think it's time for me to invest in a crock pot,Jcole9,279,0:11,control,1
1477,Love it!,_aikira_,279,0:11,control,1
1478,Nothing like cooking once and having food for days,kittycatbakes,279,3:48,control,1
1479,Love the color scheme!,Jcole9,280,0:03,control,1
1480,"Ooooo, time for a new sweater?",_aikira_,280,0:07,control,1
1481,Could you teach me??,fusionfeast,280,2:13,control,1
1482,LOL,_aikira_,281,0:04,control,1
1483,Hehe I get it,fusionfeast,281,0:21,control,1
1484,*groans*,lee.alexa,281,0:22,control,1
1485,which side will you go on?? 😉,jackrussellmom,281,0:08,control,1
1486,"Uh uh, I hope it doesn't start raining meatballs",tacoguy,281,2:02,control,1
1487,IT WAS SO VIOLENT,fusionfeast,282,0:02,control,1
1488,"Haha, there's no keeping up with the popular games these days",lee.alexa,282,0:14,control,1
1489,Fun bonding time though!,ria_camiii,282,4:19,control,1
1490,happy birthday!,lee.alexa,283,0:03,control,1
1491,happy happy birthday to you!!,ria_camiii,283,0:13,control,1
1492,"Aww such a nice photo, happy birthday!",caffeinated,283,0:20,control,1
1493,she's looking younger each year!,hockeymom101,283,4:21,control,1
1494,Woah watch out for that one!,ria_camiii,284,0:03,control,1
1495,Looking good kid!,caffeinated,284,0:21,control,1
1496,What a dare devil <3,earthpulse,284,2:33,control,1
1497,"hahaha, love it!",caffeinated,285,0:05,control,1
1498,Omg that's that perfect gift for her,earthpulse,285,0:24,control,1
1499,absolutely amazing,casssssssssie,285,0:20,control,1
1500,"I just rewatched avatar, he's my favorite character",MedicalRyan,285,0:19,control,1
1501,if only he was big enough to fly,KatieeeM,285,3:55,control,1
1502,They're the best days!!,earthpulse,286,0:03,control,1
1503,WOOOO!!!!,casssssssssie,286,0:15,control,1
1504,YEAH LET'S GOOOOO,breethebaker,286,3:35,control,1
1505,Omg best day ever!,casssssssssie,287,0:05,control,1
1506,The only appropriate response imo,breethebaker,287,0:09,control,1
1507,Ugh love it,kittycatbakes,287,0:21,control,1
1508,so much snow!,M.Kapadia92,287,2:21,control,1
1509,looks delicisous!,breethebaker,288,0:04,control,1
1510,Soooo when are you cooking for me?? hahaha,kittycatbakes,288,0:17,control,1
1511,Yum!,localewis,288,3:11,control,1
1512,So many great memories :),kittycatbakes,289,0:04,control,1
1513,Take me back!!!!,localewis,289,0:20,control,1
1514,Love this so much,jupiterpride,289,0:20,control,1
1515,so serene,caffeinated,289,0:19,control,1
1516,stunning! I wish I could watch the sunset with my camp friends,_aikira_,289,3:05,control,1
1517,Omg I see what you mean,localewis,290,0:03,control,1
1518,That would be a fun car for sure,jupiterpride,290,0:18,control,1
1519,Some day!,breathe_in,290,3:48,control,1
1520,Oooo might have to steal some from you,jupiterpride,291,0:02,control,1
1521,Very appropriately named LOL,breathe_in,291,0:10,control,1
1522,I'd love the recipe!,jackrussellmom,291,0:24,control,1
1523,those look crazy (and delicious),kittycatbakes,291,3:36,control,1
1524,hahaha same,breathe_in,292,0:01,control,1
1525,why'd you have to call me out like this lmao,jackrussellmom,292,0:19,control,1
1526,more relatable than I'd like to admit,lavenderrrrrr,292,2:08,control,1
1527,Health grind never stops!,jackrussellmom,293,0:03,control,1
1528,I've been trying to eat healthier too! How are these made?,lavenderrrrrr,293,0:06,control,1
1529,Still looks delicious!,tastyrobot,293,0:09,control,1
1530,How do those taste? I've always wanted to try,sweetpea,293,0:21,control,1
1531,you shouldn't feel guilty for eating some cookies,ancho-n-cayenne,293,2:09,control,1
1532,Seems so fun!,lavenderrrrrr,294,0:05,control,1
1533,What I wouldn't do for a milkshake right now....,tastyrobot,294,0:25,control,1
1534,Haha even if it's two cups you can bet I'm drinking both!,wiz_khaleesi,294,3:16,control,1
1535,No question blue one is the way to go,tastyrobot,295,0:03,control,1
1536,Yo that blue one at the top looks SICK,wiz_khaleesi,295,0:13,control,1
1537,I would go for classic acoustic personally,Ataylor,295,0:17,control,1
1538,That blue one looks really pretty ,NoahM1121,295,3:31,control,1
1539,Haha I feel you Luna 😅,wiz_khaleesi,296,0:01,control,1
1540,Gotta love her!,Ataylor,296,0:05,control,1
1541,Omg what a cutie,cavsforever,296,3:17,control,1
1542,So pretty 💕,Ataylor,297,0:03,control,1
1543,Love this quote......thanks for sharing.........,cavsforever,297,0:11,control,1
1544,💕💕💕,tacoguy,297,0:17,control,1
1545,what song is that?,artisanalways,297,3:42,control,1
1546,haunting and gorgeous,cavsforever,298,0:02,control,1
1547,"Wow, what song is this?",tacoguy,298,0:25,control,1
1548,great photo,Sue_S,298,2:16,control,1
1549,I love your photography,tacoguy,299,0:04,control,1
1550,Do you do commissions??,Sue_S,299,0:09,control,1
1551,Love the quote,karenM,299,0:11,control,1
1552,looks so peaceful,lavenderrrrrr,299,0:22,control,1
1553,i'd love to curl up and read a book next to taht,kittycatbakes,299,2:38,control,1
1554,I could eat twelve rolls ugh,Sue_S,300,0:03,control,1
1555,YUMMM MY FAV,karenM,300,0:12,control,1
1556,omg that looks so goooooood,jake_turk,300,2:11,control,1
1557,Gotta eat up! Love breakfast!,karenM,301,0:03,control,1
1558,Looks soooo delicious,jake_turk,301,0:14,control,1
1559,You got that right!,snowbird,301,0:15,control,1
1560,I love fresh berries with my breakfast,HP743,301,2:57,control,1
1561,OMG STOP,jake_turk,302,0:04,control,1
1562,I could cry this is so adorable,snowbird,302,0:19,control,1
1563,awwwww 💕,youngcunningham,302,4:20,control,1
1564,LOVE Jane Austen,snowbird,303,0:05,control,1
1565,This is so true 🎶,youngcunningham,303,0:16,control,1
1566,Couldn't agree more!,generic-joe,303,0:14,control,1
1567,I finally bought Folklore on vinyl,ancho-n-cayenne,303,0:22,control,1
1568,this picture makes me want to slow dance,bblueberryy,303,4:54,control,1
1569,The number of fights I've gotten into over Monopoly...,youngcunningham,304,0:04,control,1
1570,Bet I could beat you 😏,generic-joe,304,0:19,control,1
1571,That's a dangerous game right there,Smitty12,304,2:20,control,1
1572,Wow! Where was this??,generic-joe,305,0:03,control,1
1573,So so pretty 😍,Smitty12,305,0:07,control,1
1574,Isn't nature fantastic?,hockeymom101,305,0:09,control,1
1575,a full rainbow!,mateoV,305,4:05,control,1
1576,HA!,Smitty12,306,0:01,control,1
1577,She got herself in this situation lol 😂,hockeymom101,306,0:20,control,1
1578,LMAO love that cat,SamTHEMAN,306,2:14,control,1
1579,WOAH where is this?,hockeymom101,307,0:05,control,1
1580,Okay okay everyone CALM DOWN I'm geeking out over this,SamTHEMAN,307,0:11,control,1
1581,Stop I'm obsessed,Marcymaniac,307,0:24,control,1
1582,I did not think this was a real place... whoops,lee.alexa,307,0:22,control,1
1583,literally my dream,earthpulse,307,3:09,control,1
1584,I need to go to the dentist just LOOKING at this photo! LOL 🤣,SamTHEMAN,308,0:03,control,1
1585,omg WHERE DO I GET THIS,Marcymaniac,308,0:25,control,1
1586,soooo yummy,HP743,308,4:41,control,1
1587,Just hanging out 🤣,Marcymaniac,309,0:04,control,1
1588,She looks comfy!,HP743,309,0:05,control,1
1589,So adorable,southerngirlCel,309,0:16,control,1
1590,what a model,ayoitsayo,309,4:45,control,1
1591,Oooo love it!,HP743,310,0:01,control,1
1592,Wow! What type of fish do you have?,southerngirlCel,310,0:21,control,1
1593,Where do I get these plants?? I need!!,BossmanRy,310,2:42,control,1
1594,Wow never seen anything like that!,southerngirlCel,311,0:02,control,1
1595,Looks like some sort of hybrid! Maybe a fuchsia?,BossmanRy,311,0:10,control,1
1596,Idk but it's super pretty!,TomM41,311,0:24,control,1
1597,they look like dancing ladies ,dana84,311,0:20,control,1
1598,There's an app that identifies plants I think,lucyinurdreams,311,3:15,control,1
1599,Safe travels!,BossmanRy,312,0:03,control,1
1600,"Have a good trip, stay safe!",TomM41,312,0:25,control,1
1601,Can't wait to travel again...,Lisa181818,312,2:02,control,1
1602,Can't wait to get back :),TomM41,313,0:01,control,1
1603,Welcome home!,Lisa181818,313,0:07,control,1
1604,How long will you be in your city??,BeardedMatt,313,0:13,control,1
1605,philly who??,wiz_khaleesi,313,5:00,control,1
1606,hahaha I'll never get this,Lisa181818,314,0:02,control,1
1607,....inside joke in the making I guess?,BeardedMatt,314,0:18,control,1
1608,what in the world,MedicalRyan,314,2:52,control,1
1609,Love the masks!,BeardedMatt,315,0:01,control,1
1610,"Stay distant from strangers, be safe!",MedicalRyan,315,0:13,control,1
1611,Go Tigers!!!,this_jack,315,0:20,control,1
1612,aww at least they're together,ancho-n-cayenne,315,0:20,control,1
1613,never seen the stadium so empty,M.Kapadia92,315,3:04,control,1
1614,Great photo!,MedicalRyan,316,0:03,control,1
1615,Seems like SUCH a fun outing,this_jack,316,0:20,control,1
1616,Where was this?,PatelS,316,2:11,control,1
1617,Totally agree!,this_jack,317,0:02,control,1
1618,Love love love all the lights,PatelS,317,0:05,control,1
1619,So true!,DonDonDonna,317,0:05,control,1
1620,I love skylines at night,john73,317,3:27,control,1
1621,Hope you had a great time,PatelS,318,0:05,control,1
1622,What a view!,DonDonDonna,318,0:24,control,1
1623,Good to see you got to spend time with him!,EmmaSmith0214,318,2:40,control,1
1624,Have a slafe flight!,BeardedMatt,319,0:04,control,1
1625,Be safe and have a good trip!,MedicalRyan,319,0:14,control,1
1626,Sooooo jealous,this_jack,319,0:10,control,1
1627,Have so much fun,artisanalways,319,0:20,control,1
1628,Please take lots of pics,jackrussellmom,319,2:34,control,1
1629,"hahaha, that's one happy kid!",MedicalRyan,320,0:05,control,1
1630,Sending love <3,this_jack,320,0:24,control,1
1631,I would be too! :D,PatelS,320,2:40,control,1
1632,"The scenery is the best part, isn't it?",this_jack,321,0:02,control,1
1633,Seems like so much fun!,PatelS,321,0:05,control,1
1634,Did you build that rock tower youself?,Smitty12,321,0:05,control,1
1635,I love coming accross random things like this on hikes,DonDonDonna,321,0:16,control,1